"product_id,""product_name"",""discount"""
"OFF-AP-10002684,""Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"",""0.80"""
"OFF-AP-10002203,""Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac"",""0.80"""
"OFF-BI-10002609,""Avery Hidden Tab Dividers for Binding Systems"",""0.80"""
"OFF-AP-10000891,""Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center"",""0.80"""
"OFF-AP-10002311,""Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"",""0.80"""
"OFF-AP-10003217,""Eureka Sanitaire  Commercial Upright"",""0.80"""
"OFF-BI-10004182,""Economy Binders"",""0.80"""
"OFF-BI-10000756,""Storex DuraTech Recycled Plastic Frosted Binders"",""0.80"""
"OFF-AP-10002518,""Kensington 7 Outlet MasterPiece Power Center"",""0.80"""
"OFF-BI-10004967,""Round Ring Binders"",""0.80"""
